FD,convexity,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,label
1.2287,0.9174986772,0.3183098862,0.0014608595,0.0023408623,0.0019718074,0.0030033841,0.00030519,0.0035426878,0.003258726,0.0049371856,0.0046943099,0.0004949144,0.0006494035,0.0041786221,0.0044985937,0.006619921,0.0030245718,0.0065687204,0.0007874413,0.0009816145,0.0044252575,0.0039777764,0.0056628196,0.0079253076,0.0039766096,0.0017008415,0
1.2282,0.9238524228,0.3183098862,0.000935113,0.0017540576,0.0026698989,0.0019629331,0.0036212182,0.0029050475,0.004412491,0.002154128,0.0031679602,0.0056920644,0.0046617993,0.0040286815,0.0060932346,0.0029467117,0.0035134861,0.0046101586,0.0080175579,0.0064552467,0.0076524022,0.005112726,0.0076810679,0.0036598842,0.0050898611,0.0042669674,0
1.1555,0.8953931501,0.3183098862,0.0010606107,0.0030401003,0.000905502,0.0022537171,0.0038873887,0.004952546,0.0014238556,0.0012136338,0.0037048731,0.006039384,0.006210537,0.0066647758,0.0018227713,0.0021632167,0.0023942539,0.0055177368,0.0083782732,0.008554513,0.0039638808,0.0080450443,0.0020740652,0.0036180798,0.0034566283,0.0028835686,0
1.2703,0.8766402517,0.3183098862,0.0012248917,0.0064826179,0.0018921304,0.0025170819,0.0025736131,0.0105526088,0.0031335629,0.0046549192,0.0039405427,0.003922335,0.0036457755,0.0141861888,0.0043436082,0.0054609059,0.0017992185,0.0055515336,0.0053261797,0.0049520223,0.001544035,0.0171006889,0.0055070803,0.0051909091,0.0022428028,0.0114063318,0
1.2501,0.9138998024,0.3183098862,0.0014362312,0.0017932393,0.0018976129,0.0028816893,0.0027276004,0.0030989581,0.0029913555,0.001808343,0.0043387671,0.004190868,0.008171758,0.004563231,0.0038098551,0.0024928745,0.0087503819,0.0057939115,0.0057644651,0.0112248118,0.0050556578,0.0062343026,0.0042292772,0.0031643965,0.0106566956,0.0035291653,0
1.2942,0.8476244086,0.3183098862,0.0010153825,0.0031195846,0.0016837832,0.0020765906,0.0047793921,0.0051597602,0.0028427759,0.0015785586,0.0032285659,0.007467555,0.0044626158,0.0071363726,0.0040601303,0.0021200898,0.0029413844,0.0045040596,0.01045644,0.0062182038,0.0065658492,0.0090149916,0.0053683722,0.0025644415,0.0043421814,0.0013559581,0
1.3097,0.8672373086,0.3183098862,0.0007877802,0.000264996,0.0026424022,0.0016868525,0.0059394565,0.000301863,0.0042055466,0.0016152397,0.0028097469,0.0090361878,0.0066388821,0.0001078839,0.0054486835,0.0022831775,0.0033680364,0.0042597668,0.0122264896,0.0090953737,0.0055853388,0.0004460213,0.0062046347,0.0031112535,0.0037028315,0.0092765325,0
1.1513,0.9128763801,0.3183098862,0.0007242172,0.002326386,0.0045447975,0.0013624805,0.0012456832,0.0037016229,0.0072668932,0.0038055998,0.0018333379,0.0018889462,0.0036895804,0.0048085733,0.0094919876,0.0052417423,0.0084573231,0.0020669012,0.0025122684,0.0049458358,0.0052697696,0.0055344904,0.0109594929,0.0065523917,0.0098000826,0.0122165765,0
1.1672,0.945539629,0.3183098862,0.0011155952,0.0004196042,0.0005868101,0.0022732105,0.0018298881,0.0008151537,0.0007530292,0.0024259624,0.0035032904,0.0029047372,0.0046941986,0.0013762993,0.0005773376,0.0036120377,0.0069342056,0.0048117859,0.0041569988,0.006764112,0.0096117419,0.0021514425,0.0005354979,0.0050134582,0.0077677492,0.0076258202,0
1.2353,0.9129118457,0.3183098862,0.0012383455,0.0031219526,0.0016824087,0.0025086879,0.0047791857,0.0051714615,0.0028354093,0.0015674586,0.0038427183,0.0074628255,0.0044646018,0.0071685637,0.0040414599,0.0020871593,0.0029439303,0.0052631778,0.0104436687,0.0062272707,0.0065607217,0.0090823825,0.0053368913,0.0024928518,0.0043411422,0.0013833537,0
1.2563,0.9212049316,0.3183098862,0.0007512391,0.0002652611,0.0026420404,0.001599151,0.0059373351,0.0003034151,0.0041976305,0.0016120462,0.0026475382,0.0090268914,0.0066403511,0.0001131656,0.0054215619,0.0022749894,0.0033587271,0.0039985796,0.0122028521,0.0090942943,0.0055843952,0.000432109,0.0061408014,0.0030837277,0.0036724424,0.009277574,0
1.2856,0.8978777691,0.3183098862,0.0005451379,0.0024293341,0.0023225912,0.0010590782,0.0056983996,0.0039914268,0.0039438449,0.0026387138,0.0015278119,0.0088901937,0.0031808055,0.0054592361,0.0056724629,0.0036360517,0.0018343065,0.0019609795,0.0124356032,0.004530467,0.0063970634,0.0067798873,0.0075457533,0.0045833219,0.0028837136,0.0016739291,0
1.2089,0.9151207306,0.3183098862,0.0007026169,0.0030259578,0.0018114783,0.0015127545,0.003902431,0.0048783258,0.0030190433,0.002952807,0.0025387483,0.0060184233,0.0067480972,0.0064426467,0.0042230521,0.0036879565,0.0021900309,0.0038784966,0.0082822501,0.0091863455,0.0037890892,0.0075299798,0.0054153054,0.0041744584,0.002858368,0.0045954379,0
1.2658,0.8131416927,0.3183098862,0.0001781147,0.0030281346,0.0018106538,0.0004844921,0.0038991895,0.0048900583,0.003006116,0.0029571479,0.0010388495,0.006009855,0.0067641249,0.0064789712,0.004181226,0.0037359113,0.0021788641,0.0019375622,0.0082604017,0.009229978,0.0037751304,0.0076173508,0.0053232809,0.0042662434,0.0028107824,0.0046184174,0
